aida_testa,avg_prob_list,0.10666568037652344,0.19093857787109308,0.25395738726371747,0.30293892607647166,0.342988720999244,0.3818860297912581,0.41955207402387906,0.46430323665079315,0.5263342505745721,0.6597977556418955
aida_testa,accum_pos_fraction_list,0.08780380994088023,0.177359316838187,0.27019925552879354,0.3621633457411868,0.4519378147580469,0.5443398292095468,0.6369608057806,0.7304576308298665,0.8263630391942194,0.9218305233194657
aida_testb,avg_prob_list,0.0940286888214953,0.16449839517947806,0.2210817448521593,0.27333245477547835,0.31771009020945606,0.36177099693347425,0.40519457770621076,0.45712259850081277,0.523676704980579,0.6519757106023676
aida_testb,accum_pos_fraction_list,0.08915013470487387,0.17854518736223365,0.27063433749693855,0.36541758510898853,0.45628214548126383,0.5478814597109969,0.6419299534655891,0.736958119030125,0.8324761204996327,0.9299534655890278
aida_train,avg_prob_list,0.15515218143200776,0.2616807851990412,0.31173583689345935,0.34939146839151874,0.3816908746957779,0.4138086474213366,0.4504423041209996,0.4969170165953235,0.5634467146385496,0.7014262512952925
aida_train,accum_pos_fraction_list,0.08521200794299731,0.17690690339913562,0.2684265856792431,0.36076392944749447,0.4526340380796636,0.5454970213760075,0.6383016002803411,0.7335591636491064,0.8302184324261185,0.9250087606588016
ace2004,avg_prob_list,0.08325484669522236,0.12095767351096137,0.1669644974825675,0.2178929751379448,0.262014918682868,0.29871206116258053,0.33478444971536336,0.36973281962829724,0.42009984244380083,0.5086763916271073
ace2004,accum_pos_fraction_list,0.08963093145869948,0.1687170474516696,0.26362038664323373,0.35500878734622143,0.4428822495606327,0.5360281195079086,0.6309314586994728,0.7293497363796133,0.8242530755711774,0.922671353251318
aquaint,avg_prob_list,0.09009679983059565,0.15554035186767579,0.21139443635940552,0.2527531917030747,0.2960731085087802,0.3316911950304702,0.36478327899365814,0.3995111294694849,0.43414916218938054,0.5221586388510626
aquaint,accum_pos_fraction_list,0.08882907133243607,0.180349932705249,0.2812920592193809,0.3728129205921938,0.4643337819650067,0.5545087483176312,0.6473755047106325,0.7442799461641991,0.8425302826379542,0.9421265141318976
clueweb,avg_prob_list,0.06853378017683512,0.09492205158955809,0.12200034145211829,0.15024029092800215,0.1812053642411163,0.2162103068785391,0.25341502040768593,0.29839688705073464,0.35749936384567316,0.4730886302636441
clueweb,accum_pos_fraction_list,0.08972346334983698,0.18029223523729018,0.27291389928752563,0.36456949643762826,0.45779495230044676,0.5525902668759811,0.6461779978263494,0.7395242120516845,0.8343195266272189,0.9310469750030189
msnbc,avg_prob_list,0.09213481895756304,0.15123939775584036,0.19352528139164574,0.22879307521016976,0.2533145792651595,0.2870703527801915,0.3222633751860836,0.3545333727409965,0.39021856847562286,0.4816180605973516
msnbc,accum_pos_fraction_list,0.09490333919156414,0.18453427065026362,0.27768014059753954,0.37082601054481545,0.46924428822495606,0.5518453427065027,0.6397188049209139,0.7328646748681898,0.8260105448154658,0.9226713532513181
wikipedia,avg_prob_list,0.07292712875074003,0.10590789844168395,0.13486015288977,0.16319733494665564,0.1927396317989361,0.22565863340547898,0.26065039680204316,0.30128484705022274,0.35215813453870876,0.454895703801672
wikipedia,accum_pos_fraction_list,0.08907870652837095,0.17953020134228187,0.2716595485051861,0.3637888956680903,0.4550030506406345,0.547437461866992,0.6395668090298963,0.7321537522879804,0.8221476510067114,0.9171751067724222
